current,total,id,name,firstname,lastname,age,date,place,country,nationality,height,weight,injured,photo
36,42,285,K. Hoever,Ki-Jana Delano,Hoever,22,2002-01-18,Amsterdam,Netherlands,Netherlands,183 cm,65 kg,false,https://media.api-sports.io/football/players/285.png
36,42,665,M. Cornet,Gnaly Albert Maxwel,Cornet,28,1996-09-27,Bregbo,Côte d'Ivoire,Côte d'Ivoire,179 cm,69 kg,false,https://media.api-sports.io/football/players/665.png
36,42,1590,José Sá,José Pedro,Malheiro de Sá,31,1993-01-17,Braga,Portugal,Portugal,192 cm,84 kg,false,https://media.api-sports.io/football/players/1590.png
36,42,1605,Daniel Podence,Daniel,Castelo Podence,29,1995-10-21,Oeiras,Portugal,Portugal,165 cm,58 kg,false,https://media.api-sports.io/football/players/1605.png
36,42,18742,M. Doherty,Matthew James,Doherty,32,1992-01-16,Dublin,Republic of Ireland,Republic of Ireland,185 cm,80 kg,false,https://media.api-sports.io/football/players/18742.png
36,42,18947,M. Lemina,Mario René Junior,Lemina,31,1993-09-01,Libreville,Gabon,Gabon,184 cm,85 kg,false,https://media.api-sports.io/football/players/18947.png
36,42,18955,D. Ings,Daniel William John,Ings,32,1992-07-23,Winchester,England,England,178 cm,73 kg,false,https://media.api-sports.io/football/players/18955.png
36,42,19147,C. Dawson,Craig,Dawson,34,1990-05-06,Rochdale,England,England,188 cm,82 kg,false,https://media.api-sports.io/football/players/19147.png
36,42,19341,D. Bentley,Daniel Ian,Bentley,31,1993-07-13,Basildon,England,England,188 cm,73 kg,false,https://media.api-sports.io/football/players/19341.png
36,42,19428,J. Bowen,Jarrod,Bowen,28,1996-12-20,Leominster,England,England,175 cm,70 kg,false,https://media.api-sports.io/football/players/19428.png
36,42,21138,R. Aït-Nouri,Rayan,Aït-Nouri,23,2001-06-06,Montreuil,France,Algeria,180 cm,70 kg,false,https://media.api-sports.io/football/players/21138.png
36,42,41606,Toti Gomes,Tote António,Gomes,25,1999-01-16,Bissau,Guinea-Bissau,Portugal,187 cm,72 kg,false,https://media.api-sports.io/football/players/41606.png
36,42,135334,S. Bueno,Santiago Ignacio,Bueno Sciutto,26,1998-11-09,Montevideo,Uruguay,Uruguay,190 cm,76 kg,false,https://media.api-sports.io/football/players/135334.png
36,42,144732,T. Doyle,Thomas Glyn,Doyle,23,2001-10-17,Manchester,England,England,172 cm,73 kg,false,https://media.api-sports.io/football/players/144732.png
36,42,144741,L. Moulden,Louie,Moulden,22,2002-01-06,Bolton,England,England,190 cm,,false,https://media.api-sports.io/football/players/144741.png
36,42,157912,B. Traoré,Boubacar,Traoré,23,2001-08-20,Bamako,Mali,Mali,183 cm,67 kg,false,https://media.api-sports.io/football/players/157912.png
36,42,195717,Y. Mosquera,Yerson,Mosquera Valdelamar,23,2001-05-02,Apartadó,Colombia,Colombia,187 cm,76 kg,false,https://media.api-sports.io/football/players/195717.png
36,42,280687,Hugo Bueno,Hugo,Bueno López,22,2002-09-18,Vigo,Spain,Spain,180 cm,73 kg,false,https://media.api-sports.io/football/players/280687.png
36,42,284357,A. Keto-Diyawa,Aaron,Keto-Diyawa,21,2003-09-11,,England,England,,,false,https://media.api-sports.io/football/players/284357.png
37,42,1231,V. Coufal,Vladimír,Coufal,32,1992-08-22,Ostrava,Czechia,Czechia,174 cm,76 kg,false,https://media.api-sports.io/football/players/1231.png
37,42,1243,T. Souček,Tomáš,Souček,29,1995-02-27,Havlíčkův Brod,Czechia,Czechia,192 cm,86 kg,false,https://media.api-sports.io/football/players/1243.png
37,42,1445,K. Mavropanos,Konstantinos,Mavropanos,27,1997-12-11,Athína,Greece,Greece,194 cm,94 kg,false,https://media.api-sports.io/football/players/1445.png
37,42,1646,Lucas Paquetá,Lucas,Tolentino Coelho de Lima,27,1997-08-27,Rio de Janeiro,Brazil,Brazil,180 cm,72 kg,false,https://media.api-sports.io/football/players/1646.png
37,42,2284,Emerson,Emerson,Palmieri dos Santos,30,1994-08-03,Santos,Brazil,Italy,176 cm,63 kg,false,https://media.api-sports.io/football/players/2284.png
37,42,2869,E. Álvarez,Edson Omar,Álvarez Velázquez,27,1997-10-24,Tlalnepantla de Baz,Mexico,Mexico,187 cm,73 kg,false,https://media.api-sports.io/football/players/2869.png
