current,total,id,name,firstname,lastname,age,date,place,country,nationality,height,weight,injured,photo
1,42,83,A. Danjuma,Arnaut,Danjuma Adam Groeneveld,27,1997-01-31,Lagos,Nigeria,Netherlands,178 cm,74 kg,false,https://media.api-sports.io/football/players/83.png
1,42,105,F. Ballo-Touré,Fodé,Ballo-Touré,27,1997-01-03,Conflans-Sainte-Honorine,France,Senegal,182 cm,70 kg,false,https://media.api-sports.io/football/players/105.png
1,42,172,D. Alli,Bamidele Jermaine,Alli,28,1996-04-11,Milton Keynes,England,England,188 cm,76 kg,false,https://media.api-sports.io/football/players/172.png
1,42,13109,S. Aluko,Omatsone Folarin,Aluko,35,1989-02-19,London,England,Nigeria,173 cm,72 kg,false,https://media.api-sports.io/football/players/13109.png
1,42,18765,André Gomes,André Filipe,Tavares Gomes,31,1993-07-30,Grijó,Portugal,Portugal,188 cm,84 kg,false,https://media.api-sports.io/football/players/18765.png
1,42,18777,M. Albrighton,Marc Kevin,Albrighton,35,1989-11-18,Tamworth,England,England,175 cm,74 kg,false,https://media.api-sports.io/football/players/18777.png
1,42,18844,J. Tomkins,James Oliver Charles,Tomkins,35,1989-03-29,Basildon,England,England,192 cm,74 kg,false,https://media.api-sports.io/football/players/18844.png
1,42,18853,J. Riedewald,Jaïro Jocquim,Riedewald,28,1996-09-09,Haarlem,Netherlands,Netherlands,182 cm,79 kg,false,https://media.api-sports.io/football/players/18853.png
1,42,19073,B. Godfrey,Benjamin Matthew,Godfrey,26,1998-01-15,York,England,England,183 cm,74 kg,false,https://media.api-sports.io/football/players/19073.png
1,42,19128,J. Harrison,Jack David,Harrison,28,1996-11-20,Stoke-on-Trent,England,England,175 cm,70 kg,false,https://media.api-sports.io/football/players/19128.png
1,42,19145,T. Adarabioyo,Abdul-Nasir Oluwatosin,Oluwadoyinsolami Adarabioyo,27,1997-09-24,Manchester,England,England,196 cm,80 kg,false,https://media.api-sports.io/football/players/19145.png
1,42,19657,M. Rodák,Marek,Rodák,28,1996-12-13,Košice,Slovakia,Slovakia,194 cm,81 kg,false,https://media.api-sports.io/football/players/19657.png
1,42,19744,K. Jackson,Kayden Pastel Dunn,Jackson,30,1994-02-22,Bradford,England,England,181 cm,73 kg,false,https://media.api-sports.io/football/players/19744.png
1,42,20224,A. Lonergan,Andrew Michael,Lonergan,41,1983-10-19,Preston,England,England,192 cm,87 kg,false,https://media.api-sports.io/football/players/20224.png
1,42,44803,D. Ball,Dominic Martin,Ball,29,1995-08-02,Welwyn Garden City,England,England,184 cm,75 kg,false,https://media.api-sports.io/football/players/44803.png
1,42,138806,B. Williams,Brandon Paul Brian,Williams,24,2000-09-03,Manchester,England,England,171 cm,63 kg,false,https://media.api-sports.io/football/players/138806.png
1,42,138822,A. Broja,Armando,Broja,23,2001-09-10,Slough,England,Albania,191 cm,83 kg,false,https://media.api-sports.io/football/players/138822.png
1,42,153425,L. Dobbin,Lewis Norman,Dobbin,21,2003-01-03,,England,England,175 cm,,false,https://media.api-sports.io/football/players/153425.png
1,42,284500,T. Iroegbunam,Timothy Emeka,Iroegbunam,21,2003-06-30,,England,England,183 cm,,false,https://media.api-sports.io/football/players/284500.png
1,42,348263,C. Stewart,Cameron Jack,Stewart,21,2003-02-20,,Northern Ireland,Northern Ireland,191 cm,,false,https://media.api-sports.io/football/players/348263.png
2,42,2699,S. Ghoddos,Sayed Saman,Ghoddos,31,1993-09-06,Malmö,Sweden,Iran,175 cm,79 kg,false,https://media.api-sports.io/football/players/2699.png
2,42,18815,R. Fredericks,Ryan,Marlowe Fredericks,32,1992-10-10,London,England,England,181 cm,74 kg,false,https://media.api-sports.io/football/players/18815.png
2,42,18870,D. Brooks,David Robert,Brooks,27,1997-07-08,Warrington,England,Wales,173 cm,62 kg,false,https://media.api-sports.io/football/players/18870.png
2,42,19229,D. Randolph,Darren Edward Andrew,Randolph,37,1987-05-12,Bray,Republic of Ireland,Republic of Ireland,188 cm,98 kg,false,https://media.api-sports.io/football/players/19229.png
2,42,19263,L. Kelly,Lloyd Casius,Kelly,26,1998-10-06,,England,England,178 cm,70 kg,false,https://media.api-sports.io/football/players/19263.png
2,42,19356,E. Marcondes,Emiliano,Marcondes Camargo Hansen,29,1995-03-09,Hvidovre,Denmark,Denmark,182 cm,75 kg,false,https://media.api-sports.io/football/players/19356.png
2,42,19364,N. Maupay,Neal,Maupay,28,1996-08-14,Versailles,France,France,173 cm,69 kg,false,https://media.api-sports.io/football/players/19364.png
2,42,19804,K. Moore,Kieffer Roberto Francisco,Moore,32,1992-08-08,Torquay,England,Wales,196 cm,89 kg,false,https://media.api-sports.io/football/players/19804.png
2,42,20110,S. Baptiste,Shandon Harkeem,Baptiste,26,1998-04-08,Reading,England,Grenada,175 cm,67 kg,false,https://media.api-sports.io/football/players/20110.png
2,42,30765,A. Radu,Ionuț Andrei,Radu,27,1997-05-28,București,Romania,Romania,188 cm,70 kg,false,https://media.api-sports.io/football/players/30765.png
2,42,127605,N. Ferguson,Nathan Kirk-Patrick,Ferguson,24,2000-10-06,,England,England,178 cm,74 kg,false,https://media.api-sports.io/football/players/127605.png
2,42,135775,Ansu Fati,Anssumane,Fati Vieira,22,2002-10-31,Bissau,Guinea-Bissau,Spain,178 cm,66 kg,false,https://media.api-sports.io/football/players/135775.png
2,42,151756,W. Dennis,William Jonathan,Dennis,24,2000-07-10,,England,England,,,false,https://media.api-sports.io/football/players/151756.png
2,42,153422,E. Brierley,Ethan Craig,Brierley,21,2003-11-23,Rochdale,England,England,168 cm,,false,https://media.api-sports.io/football/players/153422.png
2,42,281975,V. Adedokun,Valintino,Adedokun,21,2003-02-14,,Republic of Ireland,Republic of Ireland,,,false,https://media.api-sports.io/football/players/281975.png
2,42,312260,K. Young,Kadan,Young,18,2006-01-19,,England,England,176 cm,,false,https://media.api-sports.io/football/players/312260.png
2,42,349288,V. Angelini,Vincent,Angelini,21,2003-09-12,Glasgow,Scotland,Scotland,186 cm,,false,https://media.api-sports.io/football/players/349288.png
2,42,382166,C. Plain,Cameron Christopher,Plain,23,2001-09-24,,England,England,,,false,https://media.api-sports.io/football/players/382166.png
2,42,408221,B. Fredrick,Benjamin Chiemela,Fredrick,19,2005-05-28,,Nigeria,Nigeria,,,false,https://media.api-sports.io/football/players/408221.png
2,42,430827,B. Arthur,Benjamin,Arthur,19,2005-10-09,,England,England,,,false,https://media.api-sports.io/football/players/430827.png
3,42,133,C. Lenglet,Clément Nicolas Laurent,Lenglet,29,1995-06-17,Beauvais,France,France,186 cm,81 kg,false,https://media.api-sports.io/football/players/133.png
3,42,190,Cédric Soares,Cédric Ricardo,Alves Soares,33,1991-08-31,Singen,Germany,Portugal,172 cm,67 kg,false,https://media.api-sports.io/football/players/190.png
3,42,786,N. Zaniolo,Nicolò,Zaniolo,25,1999-07-02,Massa,Italy,Italy,190 cm,79 kg,false,https://media.api-sports.io/football/players/786.png
3,42,1452,Mohamed Elneny,Mohamed Naser,Elsayed Elneny,32,1992-07-11,El Mahalla El Kubra,Egypt,Egypt,179 cm,72 kg,false,https://media.api-sports.io/football/players/1452.png
3,42,138937,F. Marschall,Filip,Marschall,21,2003-04-24,,England,England,195 cm,87 kg,false,https://media.api-sports.io/football/players/138937.png
3,42,278123,S. Revan,Sebastian,Revan,21,2003-07-14,,England,England,181 cm,,false,https://media.api-sports.io/football/players/278123.png
3,42,284390,J. Wright,James,Wright,20,2004-12-02,,England,England,,,false,https://media.api-sports.io/football/players/284390.png
3,42,284439,L. Sousa,Lino Gonçalo,da Cruz Sousa,19,2005-01-19,,Portugal,England,185 cm,,false,https://media.api-sports.io/football/players/284439.png
3,42,284502,J. Sweet,James,Lannin-Sweet,21,2003-11-03,,England,Wales,,,false,https://media.api-sports.io/football/players/284502.png
3,42,284540,Mauro Bandeira,Mauro,Gomes Bandeira,21,2003-11-18,Loures,Portugal,Portugal,178 cm,,false,https://media.api-sports.io/football/players/284540.png
3,42,284571,C. Sagoe Jr,Charles Kwame,Sagoe Junior,20,2004-07-24,,Ghana,England,,,false,https://media.api-sports.io/football/players/284571.png
3,42,294638,F. Munroe,Finley,Munroe,19,2005-02-08,,England,England,,,false,https://media.api-sports.io/football/players/294638.png
3,42,308843,T. Patterson,Travis,Patterson,19,2005-10-06,,England,England,,,false,https://media.api-sports.io/football/players/308843.png
3,42,309501,A. Cozier-Duberry,Amario Oswald Gerardo,Cozier-Duberry,19,2005-05-29,,England,England,,,false,https://media.api-sports.io/football/players/309501.png
3,42,309505,R. Walters,Reuell Joshua,Walters,20,2004-12-16,,England,England,183 cm,,false,https://media.api-sports.io/football/players/309505.png
3,42,313236,E. Nwaneri,Ethan Chidiebere,Nwaneri,17,2007-03-21,London,England,England,165 cm,,false,https://media.api-sports.io/football/players/313236.png
3,42,313245,M. Lewis-Skelly,Myles Anthony,Lewis-Skelly,18,2006-09-26,,England,England,178 cm,,false,https://media.api-sports.io/football/players/313245.png
3,42,329347,O. Kellyman,Omari Jamian,Kellyman,19,2005-09-25,,England,England,,,false,https://media.api-sports.io/football/players/329347.png
3,42,398004,S. Proctor,Sam,Proctor,18,2006-12-21,,England,England,,,false,https://media.api-sports.io/football/players/398004.png
3,42,455010,L. Emery,Lander,Emery,,,,England,England,,,false,https://media.api-sports.io/football/players/455010.png
4,42,305,D. Origi,Divock,Okoth Origi,29,1995-04-18,Oostende,Belgium,Belgium,185 cm,75 kg,false,https://media.api-sports.io/football/players/305.png
4,42,371,Felipe,Felipe Augusto,de Almeida Monteiro,35,1989-05-16,Mogi das Cruzes,Brazil,Brazil,190 cm,83 kg,false,https://media.api-sports.io/football/players/371.png
4,42,454,Y. Akgün,Yunus,Akgün,24,2000-07-07,İstanbul,Türkiye,Türkiye,173 cm,65 kg,false,https://media.api-sports.io/football/players/454.png
4,42,2468,G. Montiel,Gonzalo Ariel,Montiel,27,1997-01-01,González Catán,Argentina,Argentina,175 cm,68 kg,false,https://media.api-sports.io/football/players/2468.png
4,42,2925,D. Praet,Dennis Pierre Jacques Albert,Praet,30,1994-05-14,Leuven,Belgium,Belgium,181 cm,78 kg,false,https://media.api-sports.io/football/players/2925.png
4,42,2991,C. Kouyaté,Cheikhou,Kouyaté,35,1989-12-21,Dakar,Senegal,Senegal,189 cm,83 kg,false,https://media.api-sports.io/football/players/2991.png
4,42,18817,A. Ogbonna,Angelo,Obinze Ogbonna,36,1988-05-23,Cassino,Italy,Italy,191 cm,86 kg,false,https://media.api-sports.io/football/players/18817.png
4,42,18836,W. Hennessey,Wayne Robert,Hennessey,37,1987-01-24,Bangor,Wales,Wales,198 cm,90 kg,false,https://media.api-sports.io/football/players/18836.png
4,42,18873,R. Fraser,Ryan,Fraser,30,1994-02-24,Aberdeen,Scotland,Scotland,163 cm,70 kg,false,https://media.api-sports.io/football/players/18873.png
4,42,18903,M. Ritchie,Matthew Thomas,Ritchie,35,1989-09-10,Gosport,England,Scotland,172 cm,76 kg,false,https://media.api-sports.io/football/players/18903.png
4,42,19032,R. Sessegnon,Kouassi Ryan,Sessegnon,24,2000-05-18,London,England,England,178 cm,70 kg,false,https://media.api-sports.io/football/players/19032.png
4,42,19130,K. Phillips,Kalvin Mark,Phillips,29,1995-12-02,Leeds,England,England,178 cm,72 kg,false,https://media.api-sports.io/football/players/19130.png
4,42,19482,J. Rothwell,Joseph Matthew,Rothwell,29,1995-01-11,Manchester,England,England,185 cm,77 kg,false,https://media.api-sports.io/football/players/19482.png
4,42,19733,F. Downes,Flynn,Downes,25,1999-01-20,Brentwood,England,England,173 cm,70 kg,false,https://media.api-sports.io/football/players/19733.png
4,42,41577,Nuno Tavares,Nuno Albertino,Varela Tavares,24,2000-01-26,Lisboa,Portugal,Portugal,183 cm,75 kg,false,https://media.api-sports.io/football/players/41577.png
4,42,144709,J. Anang,Joseph,Tetteh Anang,24,2000-06-08,,England,England,190 cm,72 kg,false,https://media.api-sports.io/football/players/144709.png
4,42,161921,G. Reyna,Giovanni Alejandro,Reyna,22,2002-11-13,Sunderland,England,USA,185 cm,79 kg,false,https://media.api-sports.io/football/players/161921.png
4,42,284536,J. Knightbridge,Jacob Christopher,Knightbridge,20,2004-01-25,,England,England,,,false,https://media.api-sports.io/football/players/284536.png
4,42,338856,N. Lemina,Pascal Noha,Lemina,19,2005-06-17,,Gabon,Gabon,,,false,https://media.api-sports.io/football/players/338856.png
4,42,341641,Rodrigo Ribeiro,Rodrigo,Duarte Ribeiro,19,2005-04-28,,Portugal,Portugal,185 cm,75 kg,false,https://media.api-sports.io/football/players/341641.png
5,42,74,S. Amrabat,Sofyan,Amrabat,28,1996-08-21,Huizen,Netherlands,Morocco,183 cm,82 kg,false,https://media.api-sports.io/football/players/74.png
5,42,286,J. Matip,Job Joël André,Matip,33,1991-08-08,Bochum,Germany,Cameroon,195 cm,90 kg,false,https://media.api-sports.io/football/players/286.png
5,42,507,Thiago Alcântara,Thiago,Alcântara do Nascimento,33,1991-04-11,San Pietro Vernotico,Italy,Spain,174 cm,70 kg,false,https://media.api-sports.io/football/players/507.png
5,42,742,R. Varane,Raphaël Xavier,Varane,31,1993-04-25,Lille,France,France,191 cm,81 kg,false,https://media.api-sports.io/football/players/742.png
5,42,908,A. Martial,Anthony Jordan,Martial,29,1995-12-05,Massy,France,France,181 cm,76 kg,false,https://media.api-sports.io/football/players/908.png
5,42,1972,L. Karius,Loris Sven,Karius,31,1993-06-22,Biberach an der Riß,Germany,Germany,189 cm,87 kg,false,https://media.api-sports.io/football/players/1972.png
5,42,2778,K. Ịheanachọ,Kelechi Promise,Ịheanachọ,28,1996-10-03,Owerri,Nigeria,Nigeria,185 cm,82 kg,false,https://media.api-sports.io/football/players/2778.png
5,42,18892,P. Dummett,Paul,Dummett,33,1991-09-26,Newcastle upon Tyne,England,Wales,183 cm,82 kg,false,https://media.api-sports.io/football/players/18892.png
5,42,18945,S. Armstrong,Stuart,Armstrong,32,1992-03-30,Inverness,Scotland,Scotland,183 cm,75 kg,false,https://media.api-sports.io/football/players/18945.png
5,42,19004,B. De Cordova-Reid,Bobby Armani,De Cordova-Reid,31,1993-02-02,Bristol,England,Jamaica,170 cm,68 kg,false,https://media.api-sports.io/football/players/19004.png
5,42,44994,V. Hladký,Václav,Hladký,34,1990-11-14,Brno,Czechia,Czechia,192 cm,80 kg,false,https://media.api-sports.io/football/players/44994.png
5,42,126690,K. Bowie,Kieran Thomas,Bowie,22,2002-09-21,Kirkcaldy,Scotland,Scotland,,,false,https://media.api-sports.io/football/players/126690.png
5,42,129705,L. Ashby-Hammond,Luca,Ashby-Hammond,23,2001-03-25,Kingston upon Thames,England,England,191 cm,,false,https://media.api-sports.io/football/players/129705.png
5,42,153420,G. Wickens,George Alexander,Wickens,23,2001-11-08,Petersfield,England,England,183 cm,,false,https://media.api-sports.io/football/players/153420.png
5,42,284242,O. Forson,Omari Nathan,Forson,20,2004-07-20,,England,England,,,false,https://media.api-sports.io/football/players/284242.png
5,42,284372,C. Doyle,Callum Craig,Doyle,21,2003-10-03,Manchester,England,England,185 cm,,false,https://media.api-sports.io/football/players/284372.png
5,42,284470,M. Dibley-Dias,Matthew Max,Dibley-Dias,21,2003-10-29,,New Zealand,New Zealand,183 cm,,false,https://media.api-sports.io/football/players/284470.png
5,42,297635,D. Tanton,Devan,Austin Tanton Pedraza,20,2004-01-03,,USA,Colombia,176 cm,74 kg,false,https://media.api-sports.io/football/players/297635.png
5,42,303467,A. Fatawu,Issahaku Abdul,Fatawu,20,2004-03-08,Tamale,Ghana,Ghana,177 cm,73 kg,false,https://media.api-sports.io/football/players/303467.png
5,42,335116,K. Šekularac,Kristian,Šekularac,21,2003-12-07,,England,Switzerland,,,false,https://media.api-sports.io/football/players/335116.png
6,42,259,Thiago Silva,Thiago,Emiliano da Silva,40,1984-09-22,Rio de Janeiro,Brazil,Brazil,183 cm,79 kg,false,https://media.api-sports.io/football/players/259.png
6,42,19617,M. Olise,Michael Akpovie,Olise,23,2001-12-12,London,England,France,184 cm,76 kg,false,https://media.api-sports.io/football/players/19617.png
6,42,181796,J. Brooking,Joshua Royston,Brooking,22,2002-09-01,,England,England,,,false,https://media.api-sports.io/football/players/181796.png
6,42,200233,L. Kavanagh,Leigh Robert,Kavanagh,21,2003-12-27,,Republic of Ireland,Republic of Ireland,,,false,https://media.api-sports.io/football/players/200233.png
6,42,206404,S. Chouchane,Samy Olivier,Chouchane,21,2003-09-05,Neuilly-sur-Seine,France,Tunisia,,,false,https://media.api-sports.io/football/players/206404.png
6,42,282254,O. Offiah,Odeluga Joshua,Offiah,22,2002-10-26,,England,England,181 cm,77 kg,false,https://media.api-sports.io/football/players/282254.png
6,42,284260,D. Williams,Dylan,Riley Williams,21,2003-09-13,,England,England,,,false,https://media.api-sports.io/football/players/284260.png
6,42,284404,J. Tauriainen,Jimi Weikko,Tauriainen,20,2004-03-08,,Finland,Finland,,,false,https://media.api-sports.io/football/players/284404.png
6,42,284416,R. Mathurin,Roshaun Andre,Mathurin,20,2004-01-23,,England,England,,,false,https://media.api-sports.io/football/players/284416.png
6,42,284428,O. Hutchinson,Omari Elijah,Giraud-Hutchinson,21,2003-10-29,Redhill,England,Jamaica,174 cm,65 kg,false,https://media.api-sports.io/football/players/284428.png
6,42,284492,L. Hall,Lewis Kieran,Hall,20,2004-09-08,,England,England,179 cm,73 kg,false,https://media.api-sports.io/football/players/284492.png
6,42,284532,Z. Sturge,Zak,Norton Sturge,20,2004-06-15,,England,England,,,false,https://media.api-sports.io/football/players/284532.png
6,42,286773,L. Castledine,Leo Alexander Francis,Castledine,19,2005-08-20,,England,England,,,false,https://media.api-sports.io/football/players/286773.png
6,42,296121,J. Hinchy,Jack Samuel Lawrence,Hinchy,21,2003-01-30,,England,England,180 cm,70 kg,false,https://media.api-sports.io/football/players/296121.png
6,42,298099,M. Hunt,Mackenzie James,Hunt,23,2001-11-14,,England,England,,,false,https://media.api-sports.io/football/players/298099.png
6,42,303667,E. Beach,Edward James,Beach,21,2003-10-09,,England,Wales,196 cm,,false,https://media.api-sports.io/football/players/303667.png
6,42,304319,A. Ola-Adebomi,Ademola,Oladipupo Ola-Adebomi,21,2003-09-03,,England,England,,,false,https://media.api-sports.io/football/players/304319.png
6,42,327748,B. Gee,Billy,Gee,19,2005-07-30,London,England,England,,,false,https://media.api-sports.io/football/players/327748.png
6,42,336599,B. Baker-Boaitey,Benicio,Baker-Boaitey,20,2004-01-09,,England,England,,,false,https://media.api-sports.io/football/players/336599.png
6,42,340135,M. O’Mahony,Mark,O’Mahony,19,2005-01-14,,Republic of Ireland,Republic of Ireland,,,false,https://media.api-sports.io/football/players/340135.png
7,42,1460,B. Saka,Bukayo Ayoyinka Temidayo,Saka,23,2001-09-05,London,England,England,178 cm,72 kg,false,https://media.api-sports.io/football/players/1460.png
7,42,2926,Y. Tielemans,Youri Marion A.,Tielemans,27,1997-05-07,Sint-Pieters-Leeuw,Belgium,Belgium,176 cm,72 kg,false,https://media.api-sports.io/football/players/2926.png
7,42,13489,J. Durán,Jhon Jader,Durán Palacio,21,2003-12-13,Medellín,Colombia,Colombia,185 cm,73 kg,false,https://media.api-sports.io/football/players/13489.png
7,42,14206,B. Aguilera,Brandon,Aguilera Zamora,21,2003-06-28,Grecia,Costa Rica,Costa Rica,179 cm,60 kg,false,https://media.api-sports.io/football/players/14206.png
7,42,18744,M. Kilman,Maximilian William,Kilman,27,1997-05-23,London,England,England,194 cm,89 kg,false,https://media.api-sports.io/football/players/18744.png
7,42,18823,B. Johnson,Benjamin Anthony,Johnson,24,2000-01-24,,England,England,175 cm,67 kg,false,https://media.api-sports.io/football/players/18823.png
7,42,19179,T. Mings,Tyrone Deon,Mings,31,1993-03-13,Bath,England,England,196 cm,77 kg,false,https://media.api-sports.io/football/players/19179.png
7,42,19321,J. Rodon,Joseph Peter,Rodon,27,1997-10-22,Swansea,Wales,Wales,193 cm,88 kg,false,https://media.api-sports.io/football/players/19321.png
7,42,19465,David Raya,David,Raya Martín,29,1995-09-15,Barcelona,Spain,Spain,183 cm,80 kg,false,https://media.api-sports.io/football/players/19465.png
7,42,20355,A. Ramsdale,Aaron Christopher,Ramsdale,26,1998-05-14,Chesterton,England,England,190 cm,88 kg,false,https://media.api-sports.io/football/players/20355.png
7,42,24882,O. Mangala,Orel Johnson,Mangala,26,1998-03-18,Brüssel,Belgium,Belgium,178 cm,80 kg,false,https://media.api-sports.io/football/players/24882.png
7,42,37276,K. Scherpen,Kjell,Scherpen,24,2000-01-23,Emmen,Netherlands,Netherlands,206 cm,98 kg,false,https://media.api-sports.io/football/players/37276.png
7,42,47522,Douglas Luiz,Douglas Luiz,Soares de Paulo,26,1998-05-09,Rio de Janeiro,Brazil,Brazil,175 cm,66 kg,false,https://media.api-sports.io/football/players/47522.png
7,42,273758,I. Samuels,Imari-Narain,Che Hines-Samuels,21,2003-02-05,,England,England,,,false,https://media.api-sports.io/football/players/273758.png
7,42,284409,D. Mubama,Divin Saku,Mubama,20,2004-10-25,,England,England,182 cm,,false,https://media.api-sports.io/football/players/284409.png
7,42,284531,B. Jackson,Benjamin,Harvey Jackson,21,2003-09-03,,England,England,190 cm,,false,https://media.api-sports.io/football/players/284531.png
7,42,303460,D. Ballard,Dominic,Ballard,19,2005-04-01,,England,England,,,false,https://media.api-sports.io/football/players/303460.png
7,42,304318,C. Bragg,Cameron,Bragg,19,2005-04-10,,England,England,,,false,https://media.api-sports.io/football/players/304318.png
7,42,336240,N. Atom,Noël,Bigo Atom,19,2005-01-05,,Germany,Germany,,,false,https://media.api-sports.io/football/players/336240.png
7,42,354581,N. Lawrence,Nico,Lawrence,21,2003-11-22,,England,England,,,false,https://media.api-sports.io/football/players/354581.png
8,42,283,T. Alexander-Arnold,Trent John,Alexander-Arnold,26,1998-10-07,Liverpool,England,England,175 cm,67 kg,false,https://media.api-sports.io/football/players/283.png
8,42,557,O. Vlachodimos,Odysseas,Vlachodimos,30,1994-04-26,Stuttgart,Germany,Greece,188 cm,78 kg,false,https://media.api-sports.io/football/players/557.png
8,42,739,Sergio Reguilón,Sergio,Reguilón Rodríguez,28,1996-12-16,Madrid,Spain,Spain,178 cm,68 kg,false,https://media.api-sports.io/football/players/739.png
8,42,25916,M. Niakhaté,Moussa,Niakhaté,28,1996-03-08,Roubaix,France,Senegal,190 cm,82 kg,false,https://media.api-sports.io/football/players/25916.png
8,42,138908,E. Anderson,Elliot,Anderson,22,2002-11-06,,England,Scotland,179 cm,,false,https://media.api-sports.io/football/players/138908.png
8,42,144729,T. Harwood-Bellis,Taylor Jay,Harwood-Bellis,22,2002-01-30,Stockport,England,England,188 cm,,false,https://media.api-sports.io/football/players/144729.png
8,42,152976,T. Hill,Thomas Daniel,Hill,22,2002-10-13,,England,Wales,,,false,https://media.api-sports.io/football/players/152976.png
8,42,152979,J. Norris,James Barry,Norris,21,2003-04-04,,England,England,,,false,https://media.api-sports.io/football/players/152979.png
8,42,180316,H. Davies,Harvey,Davies,21,2003-09-03,,England,England,,,false,https://media.api-sports.io/football/players/180316.png
8,42,278116,T. Maswanhise,Tawanda Jethro,Maswanhise,22,2002-11-20,Harare,Zimbabwe,Zimbabwe,,,false,https://media.api-sports.io/football/players/278116.png
8,42,280683,J. Balagizi,James,Balagizi,21,2003-09-20,,England,England,,,false,https://media.api-sports.io/football/players/280683.png
8,42,283289,A. Raikhy,Arjan,Singh Raikhy,22,2002-10-20,,England,England,,,false,https://media.api-sports.io/football/players/283289.png
8,42,284287,M. Musiałowski,Mateusz Konrad,Musiałowski,21,2003-10-16,Katowice,Poland,Poland,175 cm,,false,https://media.api-sports.io/football/players/284287.png
8,42,284366,L. Chambers,Luke,Chambers,20,2004-06-24,,England,England,,,false,https://media.api-sports.io/football/players/284366.png
8,42,284367,L. Stephenson,Luca,Stephenson,21,2003-09-17,,England,England,,,false,https://media.api-sports.io/football/players/284367.png
8,42,284403,S. Thomas,Silko,Amari Otieno Thomas,20,2004-06-25,,England,England,,,false,https://media.api-sports.io/football/players/284403.png
8,42,286764,K. Gordon,Kaide,Gordon,20,2004-10-05,,England,England,,,false,https://media.api-sports.io/football/players/286764.png
8,42,287111,F. Mrozek,Fabian,Mrozek,21,2003-09-28,,Poland,Poland,,,false,https://media.api-sports.io/football/players/287111.png
8,42,310186,C. Scanlon,Calum Alexander,Scanlon,19,2005-02-14,,England,England,,,false,https://media.api-sports.io/football/players/310186.png
8,42,383685,Y. Minteh,Yankuba,Minteh Moat,20,2004-07-22,,Gambia,Gambia,180 cm,65 kg,false,https://media.api-sports.io/football/players/383685.png
9,42,138929,L. Brunt,Lewis,Brunt,24,2000-11-06,,England,England,,,false,https://media.api-sports.io/football/players/138929.png
9,42,147832,G. Yahyai,Gassan Ahadme,Yahyai,24,2000-11-17,Vic,Spain,Morocco,187 cm,,false,https://media.api-sports.io/football/players/147832.png
9,42,148099,K. Dewsbury-Hall,Kiernan Frank,Dewsbury-Hall,26,1998-09-06,Shepshed,England,England,178 cm,,false,https://media.api-sports.io/football/players/148099.png
9,42,284530,B. Cover,Brandon Ashley,Cover,21,2003-09-25,,England,Jamaica,,,false,https://media.api-sports.io/football/players/284530.png
9,42,287868,M. Merrick,Max,Merrick,19,2005-11-10,,England,England,,,false,https://media.api-sports.io/football/players/287868.png
9,42,298061,T. Curd,Ted Noah,Curd,18,2006-02-14,London,England,England,190 cm,,false,https://media.api-sports.io/football/players/298061.png
9,42,305733,W. Alves,William Thomas,Alves,19,2005-05-04,Leicester,England,England,,,false,https://media.api-sports.io/football/players/305733.png
9,42,328093,I. Samuels-Smith,Ishé Barrington,Samuels-Smith,18,2006-06-05,Manchester,England,England,186 cm,,false,https://media.api-sports.io/football/players/328093.png
9,42,328095,L. Barrington,Luca,Barrington,20,2004-12-12,,England,England,,,false,https://media.api-sports.io/football/players/328095.png
9,42,328107,L. Koumas,Lewis Terence,Koumas,19,2005-09-19,Chester,England,Wales,,,false,https://media.api-sports.io/football/players/328107.png
9,42,330986,M. Golding,Michael Heinz,Golding,18,2006-05-23,,England,England,178 cm,,false,https://media.api-sports.io/football/players/330986.png
9,42,350626,L. Briggs,Logan,Briggs,19,2005-02-07,,England,England,,,false,https://media.api-sports.io/football/players/350626.png
9,42,364048,H. Murray-Campbell,Harrison Alexander,Murray-Campbell,18,2006-08-04,Luton,England,England,184 cm,,false,https://media.api-sports.io/football/players/364048.png
9,42,365660,K. Dyer,Kiano,Dyer,18,2006-11-21,,England,England,,,false,https://media.api-sports.io/football/players/365660.png
9,42,366735,J. Acheampong,Joshua Kofi,Acheampong,18,2006-05-05,London,England,England,,,false,https://media.api-sports.io/football/players/366735.png
9,42,389315,J. King,Joshua,King,17,2007-01-03,,England,England,,,false,https://media.api-sports.io/football/players/389315.png
9,42,394167,O. Harrison,Ollie,Harrison,17,2007-08-07,,England,England,,,false,https://media.api-sports.io/football/players/394167.png
9,42,397997,T. Nyoni,Treymaurice,Nyoni,17,2007-06-30,,England,England,,,false,https://media.api-sports.io/football/players/397997.png
9,42,407032,A. Nallo,Amara,Nallo,18,2006-11-18,,England,England,,,false,https://media.api-sports.io/football/players/407032.png
9,42,411808,D. Richards,Dujuan Odile,Richards,19,2005-11-10,Port Royal,Jamaica,Jamaica,189 cm,,false,https://media.api-sports.io/football/players/411808.png
10,42,147,Philippe Coutinho,Philippe,Coutinho Correia,32,1992-06-12,Rio de Janeiro,Brazil,Brazil,172 cm,68 kg,false,https://media.api-sports.io/football/players/147.png
10,42,284,J. Gomez,Joseph Dave,Gomez,27,1997-05-23,London,England,England,188 cm,80 kg,false,https://media.api-sports.io/football/players/284.png
10,42,792,J. Kluivert,Justin Dean,Kluivert,25,1999-05-05,Amsterdam,Netherlands,Netherlands,171 cm,67 kg,false,https://media.api-sports.io/football/players/792.png
